,Title,Published_date,Views,Likes,Comments,month
215,Zara Larsson - Lush Life feat. Tinie Tempah (Dancehall Remix),2016-02-26,454631,4089,100,Feb
216,Zara Larsson - Lush Life feat. Tinie Tempah (Official Audio),2016-02-26,571055,4898,163,Feb
217,Zara Larsson & MNEK - Never Forget You (LIVE at P3 Guld 2016),2016-01-17,338291,4779,212,Jan
218,Zara Larsson - :60 With,2015-12-15,589095,9041,313,Dec
219,Zara Larsson - Vevo LIFT Fan Vote 2015 (Vevo LIFT),2015-10-05,151435,2741,133,Oct
220,Zara Larsson - Carry You Home (Silent Bus Sessions),2015-09-24,155545,3438,100,Sep
221,Zara Larsson - Better You (Silent Bus Sessions),2015-09-24,747016,7765,213,Sep
222,"Zara Larsson, MNEK - Never Forget You",2015-09-17,530061830,3829000,100650,Sep
223,Zara Larsson & MNEK - Never Forget You (Official Audio),2015-09-11,10468130,80017,2391,Sep
224,Zara Larsson - Lush Life,2015-07-01,823520965,4852423,141508,Jul
225,Zara Larsson - Lush Life (Official Audio),2015-06-14,10104238,58520,1962,Jun
226,Zara Larsson - Lush Life (Official Music Video),2015-06-05,4493851,18902,1714,Jun
227,Zara Larsson - Uncover (Official Fan-Video),2015-03-24,229690,3614,165,Mar
228,Zara Larsson - Uncover (Millesim Remix),2015-03-13,678816,8009,157,Mar
229,Zara Larsson - Carry You Home (Grammis 2015 A Cappella Performance),2015-02-26,148956,2646,98,Feb
230,Zara Larsson - Pre Grammis Hangout #ZaraGrammis,2015-02-24,154658,1881,334,Feb
231,Zara Larsson - Behind The Scenes of DR's Store Juleshow 2014,2015-01-26,34942,555,17,Jan
232,Zara Larsson - Uncover (Official Music Video),2015-01-20,386840564,4279421,89166,Jan
233,Zara Larsson - Weak Heart (Sam Crow & Mack Remix),2015-01-13,136503,2041,176,Jan
234,Zara Larsson - Weak Heart (Official Music Video),2014-12-05,25386058,200799,4185,Dec
235,Zara Larsson - Rooftop (Official Music Video),2014-09-26,22525176,132054,3057,Sep
236,Zara Larsson - Rooftop (Official Lyric Video),2014-09-21,214594,2092,68,Sep
