,Title,Published_date,Views,Likes,Comments,month
89,"Dua Lipa - Don't Start Now (Live in LA, 2019)",2020-01-10,225100153,922283,16165,Jan
90,Dua Lipa - Don't Start Now [Kungs Remix] (Official Audio),2019-12-18,1425082,27819,753,Dec
91,Dua Lipa - Future Nostalgia (Official Lyrics Video),2019-12-16,24134229,397620,7523,Dec
92,Dua Lipa - Don't Start Now [Purple Disco Machine Remix] (Official Video),2019-12-06,6193094,107917,2216,Dec
93,Dua Lipa - Don't Start Now [Dom Dolla Remix] (Official Audio),2019-11-26,1553801,34473,1085,Nov
94,Dua Lipa - Don't Start Now (Official Lyrics Video),2019-11-15,11810577,111859,1269,Nov
95,Dua Lipa Diaries 016 - The MTV EMAs November 2019,2019-11-12,1144310,28760,781,Nov
96,Dua Lipa - Don't Start Now (Live at the MTV EMAs 2019),2019-11-07,17702437,321717,5817,Nov
97,Dua Lipa - Don't Start Now (Official Reaction Video),2019-11-03,243265,11357,483,Nov
98,Dua Lipa - Don't Start Now (Official Music Video),2019-11-01,684985827,6939694,135817,Nov
99,Dua Lipa - Don't Start Now (Out Now!),2019-10-23,3654970,90905,2225,Oct
100,Dua Lipa - Don't Start Now (Out Now!),2019-10-23,1060675,32343,1081,Oct
101,Dua Lipa - Swan Song (from Alita: Battle Angel) [Official Lyrics Music Video],2019-02-01,3361844,75367,2391,Feb
102,Dua Lipa - Swan Song (From Alita: Battle Angel) [Official Music Video],2019-01-24,73360626,1075646,31705,Jan
103,Dua Lipa & BLACKPINK - Kiss and Make Up (Official Audio),2018-10-18,241602174,3768741,148592,Oct
104,Dua Lipa - One Kiss / Electricity (Live at the American Music Awards 2018),2018-10-10,9405264,174151,4974,Oct
105,Dua Lipa Diaries 015 - Summer Festivals - August 2018,2018-09-15,431891,14503,624,Sep
106,Dua Lipa - IDGAF (Live),2018-09-11,1344892,41022,1810,Sep
107,Dua Lipa Diaries 014 - Miami - June 2018,2018-08-03,1022510,18867,807,Aug
108,Dua Lipa Diaries 013 - Bonnaroo Music Festival - June 2018,2018-07-19,310200,9572,503,Jul
